2018-07-27 16:23:45,b'RT @Basepoint_Luton: Looking for a haven away from the kids? #DidYouKnow you can use your #Regus Business World Membership to access our br\xe2\x80\xa6'
2018-07-27 15:02:08,b'RT @opensourcedwor1: Coworking is quickly becoming the new normal \n\nHas Coworking Transcended the Effectiveness of the Traditional Office E\xe2\x80\xa6'
2018-07-27 13:33:56,"b""RT @RegusGatwick: We know you probably don't want to start thinking about #work next week, but we have #meeting rooms available #book via o\xe2\x80\xa6"""
2018-07-27 13:33:51,"b'RT @RegusT5: We have #meeting rooms available for next #week, #book now via our #regus #app or through the #website to receive 10% off! Fro\xe2\x80\xa6'"
2018-07-27 13:33:27,"b'We have #meeting rooms available for next #week, #book now via our #regus #app or through the #website to receive 1\xe2\x80\xa6 https://t.co/w5K4x2XXE9'"
2018-07-27 13:28:29,"b""We know you probably don't want to start thinking about #work next week, but we have #meeting rooms available #book\xe2\x80\xa6 https://t.co/EexwKZUXv3"""
2018-07-26 15:24:57,b'@RegusUSA Help - New customer and cannot connect to correct IP series in Pittsburgh Bakery Square. No response from you guys. Help #regus'
2018-07-26 10:19:44,b'Looking for a haven away from the kids? #DidYouKnow you can use your #Regus Business World Membership to access our\xe2\x80\xa6 https://t.co/pFBtDvPDzr'
2018-07-25 23:44:48,b'RT @__CAFFREY__USA: @CAFFREY_USA @SanRamonPatch Scummy worldwide #Movoto #online #realtors #brokers became alliances/invested/employed in/w\xe2\x80\xa6'
2018-07-25 11:24:50,b'On a hot day in this #heatwave we are so happy to have air-con :) Light breezy spaces #WorkYourWay #Regus #Offices\xe2\x80\xa6 https://t.co/3j8z3sCzD0'
2018-07-25 11:06:44,"b'RT @RegusGatwick: Need some #WednesdayMotivation? Come to visit our #Lounge @Gatwick_Airport @RegusGatwick to #staycool, #stayhydrated and\xe2\x80\xa6'"
2018-07-25 10:22:17,"b'RT @jvaroregidor: As of September, a large fully-furnished external office will be available for 3 - 4 people,  including wi-fi, internet,\xe2\x80\xa6'"
2018-07-25 10:07:15,"b'As of September, a large fully-furnished external office will be available for 3 - 4 people,  including wi-fi, inte\xe2\x80\xa6 https://t.co/cyiJGr5vhy'"
2018-07-25 09:46:01,"b'Need some #WednesdayMotivation? Come to visit our #Lounge @Gatwick_Airport @RegusGatwick to #staycool,\xe2\x80\xa6 https://t.co/MSuvnpHz1z'"
2018-07-25 07:44:49,"b""Business Breakfast @ Sutton Harbour is back at 8am on the 3rd August! \nIt's a great opportunity to network &amp; learn!\xe2\x80\xa6 https://t.co/CzHt92WIa1"""
2018-07-24 11:15:10,b'We have #meeting rooms for you and your #team. #Book now via the #regus app or through our #Website to receive 10%\xe2\x80\xa6 https://t.co/TlzxuLZ7EX'
2018-07-24 11:01:58,"b'We have #meeting rooms available, small and large. #Book via the #Regus app or through our website to receive 10% o\xe2\x80\xa6 https://t.co/BRSrp0vklZ'"
2018-07-23 12:37:45,b'https://t.co/E61HTGtj8t\nRead our #Regus #Blog on how digital advances have made it easy to work anywhere. We offer\xe2\x80\xa6 https://t.co/rG0ZMBkXU7'
2018-07-23 10:05:15,b'Business Breakfast @ Sutton Harbour is back at 8am on the 3rd August! \n\nGreat opportunity to network so get in touc\xe2\x80\xa6 https://t.co/FSNeerMw2K'
2018-07-20 14:02:36,b'RT @regus_ksa: Your gold membership gives you a free drop-in access to our #business #lounges located in convenient locations around the wo\xe2\x80\xa6'
2018-07-20 14:02:13,b'RT @regus_ksa: What is #CoWorking? #regus #shared #Business #Entrepreneur #saudi #riyadh #jeddah #jubail #khubar #dammam #Makkah https://t.\xe2\x80\xa6'
2018-07-20 11:48:45,b'@Regus_UK - several emails and phone calls and still no refund of the double payment you took in error from my colleague - #regus \xf0\x9f\x98\xa1'
2018-07-20 11:12:20,b'Another great fancy #chocolate #friday at #Regus #Gibraltar. Wishing all of our customers a sweet weekend. https://t.co/7jizlHeK36'
2018-07-20 10:20:27,"b""We're nearly full!! If you're bored of working from home and want to try something new, book your tour now on 01494\xe2\x80\xa6 https://t.co/AhBKSvrLs8"""
2018-07-20 10:15:28,"b'From #conference rooms to #meeting rooms, we have it all at #Regus. Click the link below to find out more!\xe2\x80\xa6 https://t.co/s5mkcCn16M'"
